Row 6: B=Jedi | C=Jedi Consular | D=Adept Negotiator | E=undefined | I=As a Standard Action, you can weaken the resolve of one opponent with your words. The target must have an Intelligence of 3 or higher, and it must be able to see, hear, and understand you. Make a Persuasion check; if the result equals or exceeds the target's Will Defense, it moves -1 step along the Condition Track. The target gets a +5 bonus to its Will Defense if it is higher level than you. If the target reaches the end of its Condition Track, it does not fall unconscious, instead, it cannot attack you or your allies for the remainder of the encounter unless you or one of your allies attacks it or one of its allies first. This is a Mind-Affecting effect.  | J=No | L=0
Row 7: B=undefined | C=undefined | D=undefined | E=Aggressive Negotiator | I=Whenever you damage an opponent with a Lightsaber attack, you can Take 10 on any Persuasion checks you make before the end of your turn, even if you would not normally be able to. | J=No | L=0
Row 8: B=undefined | C=undefined | D=undefined | E=Consular's Wisdom | I=Once/encounter as swift add Wisdom bonus to ally's Will Defense | J=No | L=0
Row 9: B=undefined | C=undefined | D=undefined | E=Force Persuasion | I=Persuasion checks can be made with Use the Force, and Persuasion is considered a trained skill | J=No | L=0
Row 10: B=undefined | C=undefined | D=undefined | E=Master Negotiator | I=Move your enemy a further step down the condition track when successful with Adept Negotiator | J=No | L=0
Row 11: B=undefined | C=undefined | D=Adversary Lore | E=undefined | I=Make a Use the Force check against a target's Will Defense as a standard action give that enemy a -2 Reflex Defense penalty against attacks from all your allies within 12 squares, line of sight, and that understand you | J=No | L=0
Row 12: B=undefined | C=undefined | D=undefined | E=Know Weakness | I=Whenever you use Adversary Lore, the target also takes an additional 1d6 points of damage from your allies who gain the benefits of the talent | J=No | L=0
Row 13: B=undefined | C=undefined | D=Cleanse Mind | E=undefined | I=Once per turn, as a swift action, remove a mind-affecting effect from a single ally in line of sight | J=No | L=0
Row 14: B=undefined | C=undefined | D=Collective Visions | E=undefined | I=Other Force-users with farseeing within 6-squares can aid another on your Use the Force check to use farseeing or farseeing-based Force powers and talents | J=No | L=0
Row 15: B=undefined | C=undefined | D=Consular's Vitality | E=undefined | I=Once per round as a swift action, you grant one ally within 12 squares of you (and in your line of sight) bonus hit points equal to 5 + your Charisma modifier. You take a -5 penaity on all Use the Force checks until the beginning of your next turn. | J=No | L=0
Row 16: B=undefined | C=undefined | D=undefined | E=Improved Consular's Vitality | I=Whenever you damage a target with a successful lightsaber attack, you may use the Consular's Vitality talent as a free action instead of a swift action until the start of your next turn. | J=No | L=0
Row 17: B=undefined | C=undefined | D=Entreat Aid | E=undefined | I=Once per turn as a Swift Action, you can spend a Force Point to let one adjacent ally use the Aid Another Action (As a Reaction) to assist you with a Skill Check. You must make the Skill Check before the end of your turn, or the benefit of the Aid Another Action is lost. An ally that has already used the Aid Another Action to assist you since the end of your last turn may not be targeted by this Talent.  | J=No | L=0
Row 18: B=undefined | C=undefined | D=Force of Will | E=undefined | I=You gain a +2 insight bonus to your Will Defense. Also, as a Swift Action, you can spend a Force Point to give all allies within 6 squares of you a +2 insight bonus to their Will Defense that lasts for the remainder of the encounter. This bonus does not extend to allies outside the range of the effect, even if they move within 6 squares of you later on. Allies who benefit from this Talent must remain within 6 squares of you to retain the insight bonus, and they lose it if you are knocked unconscious or killed. This is a Mind-Affecting effect.  | J=No | L=0
Row 19: B=undefined | C=undefined | D=Guiding Strikes | E=undefined | I=When you deal damage to a target by making a Lightsaber attack on your turn, you can use a Swift Action before the end of your turn to activate this Talent. If you do so, allies adjacent to the target at the time you make the attack gain a +2 circumstance bonus to melee attack rolls against the target until the start of your next turn.  | J=No | L=0
Row 20: B=undefined | C=undefined | D=Renew Vision | E=undefined | I=Regain all expended uses of farseeing once per encounter as a swift action | J=No | L=0
Row 21: B=undefined | C=undefined | D=Recall | E=undefined | I=Whenever you spend a Force Point to return a Force power to your suite, you regain two Force powers instead of one | J=No | L=0
Row 22: B=undefined | C=undefined | D=Skilled Advisor | E=undefined | I=Spend a full-round action to grant an ally +5 to a skill check (or +10 with a Force Point). Mind-Affecting | J=No | L=0
Row 23: B=undefined | C=undefined | D=WatchCircle Initiate | E=undefined | I=Make a Use the Force check to use farseeing to transfer a Force Point to an ally within line of sight | J=No | L=0
Row 24: B=undefined | C=undefined | D=undefined | E=Visionary Attack | I=As a Reaction, you can make a Use the Force check after you or an ally within 12 squares misses with a melee or ranged attack, removing one use of the Farseeing Force Power from your active Force Power Suite (As though you had activated the Force Power). If your check result equals or exceeds the Will Defense of the target of that missed attack, the attacker can reroll the missed attack roll. This counts as using the Farseeing Force Power against the target, but this Talent replaces the normal rules and effects of Farseeing. Any attack can only be affected by this Talent once (Thus, multiple characters cannot use this Talent on the same attack to allow multiple rerolls). You take a cumulative -5 penalty on Use the Force checks until the beginning of your next turn when you use this Talent.  | J=No | L=0
Row 25: B=undefined | C=undefined | D=undefined | E=Visionary Defense | I=As a Reaction, you can make a Use the Force check after you or an ally within 12 squares is the target of a melee or ranged attack (But before the results of the attack roll are known), removing one use of the Farseeing Force Power from your active Force Power Suite (As though you had activated the Force Power). If your check result equals or exceeds the Will Defense of the attacker, you grant the target of that attack a +5 Force bonus to their Reflex Defense against that attack. This counts as using the Farseeing Force Power against the attacker, but this Talent replaces the normal rules and effects of Farseeing. Any attack can only be affected by this Talent once (Thus, multiple characters cannot use this Talent on the same attack to allow multiple rerolls). You take a cumulative -5 penalty on Use the Force checks until the beginning of your next turn when you use this Talent.  | J=No | L=0
Row 26: B=undefined | C=Jedi Guardian | D=Acrobatic Recovery | E=undefined | I=Make a DC 20 Acrobatics check to negate falling prone | J=No | L=0
Row 27: B=undefined | C=undefined | D=Battle Meditation | E=undefined | I=Spend a full-round action to grant yourself and allies within 6 squares +1 to attack rolls | J=No | L=0
Row 28: B=undefined | C=undefined | D=undefined | E=Improved Battle Meditation | I=Battle Meditation is a swift action, extends to 12 squares and inflicts a -1 penalty on enemy attack rolls | J=No | L=0
Row 29: B=undefined | C=undefined | D=Close Maneuvering | E=undefined | I=Once per turn, you can use a swift action to designate a target. Until the start of your next turn, your movement does not provoke attacks of opportun ity from that target, provided that you end your movement adjacent to that target | J=No | L=0
Row 30: B=undefined | C=undefined | D=Cover Escape | E=undefined | I=When you successfully spend a Force Point to negate a melee attack against an adjacent ally with the Block or Deflect talents, that ally can move up to 2 squares as a free action. This movement does not provoke an attack of opportunity. | J=No | L=0
Row 31: B=undefined | C=undefined | D=Defensive Acuity | E=undefined | I=When you fight defensively you deal +1 die on lightsaber attacks and gain a +2 bonus with Block and Deflect | J=No | L=0
Row 32: B=undefined | C=undefined | D=Elusive Target | E=undefined | I=Additional -5 penalty for ranged attacks against you whilst fighting in melee | J=No | L=0
Row 33: B=undefined | C=undefined | D=Exposing Strike | E=undefined | I=When you use a lightsaber to deal damage to a target, you can spend a Force Point to make that target flat-footed until the end of your next turn. | J=No | L=0
Row 34: B=undefined | C=undefined | D=Grenade Defense | E=undefined | I=You can use the Move Light Object application of Use the Force as a reaction when you are attacked by a grenade of any kind, but take a -5 penalty to Use the Force check until the start of your next turn | J=No | L=0
Row 35: B=undefined | C=undefined | D=Guardian Strike | E=undefined | I=Whenever you use a lightsaber to deal damage to a target, that target takes a -2 penaity on attack rolls against any target other than you until the beginning of your next turn. | J=No | L=0
Row 36: B=undefined | C=undefined | D=Force Intuition | E=undefined | I=Initiative checks can be made with Use the Force, and Initiative is considered a trained skill | J=No | L=0
